Landscape,level 5,level 4
9011110,1
9011120,1
9011131,1
9011132,1
9011141,1
9011142,1
9011151,1
9011152,1
9011211,1
9011212,1
9011221,1
9011222,1
9011231,1
9011232,1
9012110,1
9012120,1
9012130,1
9012140,1
9012150,1
9012161,1
9012162,1
9012210,1
9012221,1
9012222,1
9012231,1
9012232,1
9012241,1
9012242,1
9013111,1
9013112,1
9013113,1
9013121,1
9013122,1
9013131,1
9013132,1
9013211,1
9013212,1
9013213,1
9013221,1
9013231,1
9013232,1
9013233,1
9014011,1
9014012,1
9014013,1
9014021,1
9014022,1
9014023,1
9014031,1
9014032,1
9014033,1
9015110,1
9015120,1
9015131,1
9015132,1
9015141,1
9015142,1
9015151,1
9015152,1
9015211,1
9015212,1
9015221,1
9015222,1
9015230,1
9015240,1
9021110,2
9021120,2
9021131,2
9021132,2
9021140,2
9021211,2
9021212,2
9021220,2
9021230,2
9021240,2
9021250,2
9021310,2
9021321,2
9021322,2
9021331,2
9021332,2
9021341,2
9021342,2
9021411,2
9021412,2
9021421,2
9021422,2
9021430,2
9021511,2
9021512,2
9021520,2
9021530,2
9021540,2
9021550,2
9021611,2
9021612,2
9021621,2
9021622,2
9021631,2
9021632,2
9022011,2
9022012,2
9022021,2
9022022,2
9031111,3
9031112,3
9031121,3
9031122,3
9031123,3
9031130,3
9031141,3
9031142,3
9031143,3
9031150,3
9031211,3
9031212,3
9031221,3
9031222,3
9031230,3
9032010,3
9032020,3
9032030,3
9060111,6
9060112,6
9060113,6
9060121,6
9060122,6
9060131,6
9060132,6
9060211,6
9060212,6
9060221,6
9060222,6
9060230,6
9071010,7
9071021,7
9071022,7
9071031,7
9071032,7
9071033,7
9071041,7
9071042,7
9071051,7
9071052,7
9072011,7
9072012,7
9072013,7
9072021,7
9072022,7
9072023,7
9073011,7
9073012,7
9073020,7
9073030,7
9073040,7
9073051,7
9073052,7
9080110,8
9080121,8
9080122,8
9080131,8
9080132,8
9080133,8
9080211,8
9080212,8
9080221,8
9080222,8
9080231,8
9080233,8
9080241,8
9080242,8
9080243,8
9090110,9
9090120,9
9090210,9
9090221,9
9090222,9
9090231,9
9090232,9
9090233,9
9090240,9
9090311,9
9090322,9
9090330,9
9090340,9
9090411,9
9090412,9
9090421,9
9090422,9
9090430,9
9090440,9
9090450,9
9090511,9
9090512,9
9090521,9
9090522,9
9090531,9
9090532,9
9090611,9
9090612,9
9090621,9
9090622,9
9090631,9
9090632,9
9090641,9
9090642,9
9090651,9
9090652,9
9090660,9
9100011,9
9100012,9
9100021,9
9100022,9
9100031,9
9100032,9
9100033,9
1,A,AA
2,A,AA
3,A,AA
4,B,AA
5,B,AA
6,B,AA
7,C,BB
8,D,BB
9,D,BB
10,G,BB
11,X,CC
12,X,CC
13,Z,DD
14,Z,DD
15,M,DD
16,N,DD
9110111,11
9110112,11
9110121,11
9110122,11
9110123,11
9110211,11
9110212,11
9110213,11
9110221,11
9110222,11
9110223,11
9110231,11
9110232,11
9120110,12
9120120,12
9120131,12
9120132,12
9120141,12
9120142,12
9120150,12
9120160,12
9120311,12
9120312,12
9120321,12
9120322,12
9120331,12
9120332,12
9120333,12
9120341,12
9120342,12
9120343,12
9131110,13
9131120,13
9131130,13
9131141,13
9131142,13
9131211,13
9131212,13
9131221,13
9131222,13
9131231,13
9131232,13
9131241,13
9131242,13
9132011,13
9132012,13
9132021,13
9132022,13
9132023,13
9132031,13
9132032,13
9132033,13
9140111,14
9140112,14
9140121,14
9140122,14
9140131,14
9140132,14
9140211,14
9140212,14
9140213,14
9140221,14
9140222,14
9140231,14
9140232,14
9150110,15
9150120,15
9150131,15
9150132,15
9150140,15
9150150,15
9150211,15
9150212,15
9150213,15
9150221,15
9150222,15
9150231,15
9150232,15
9150233,15
9150241,15
9150242,15
9160010,6
9160020,6
9160030,6
9160041,6
9160042,6
9160051,6
9160052,6