Landscape,level 5
9011110,1
9011120,1
9011131,1
9011132,1
9011141,1
9011142,1
9011151,1
9011152,1
9011211,1
9011212,1
9011221,1
9011222,1
9011231,1
9011232,1
9012110,1
9012120,1
9012130,1
9012140,1
9012150,1
9012161,1
9012162,1
9012210,1
9012221,1
9012222,1
9012231,1
9012232,1
9012241,1
9012242,1
9013111,1
9013112,1
9013113,1
9013121,1
9013122,1
9013131,1
9013132,1
9013211,1
9013212,1
9013213,1
9013221,1
9013231,1
9013232,1
9013233,1
9014011,1
9014012,1
9014013,1
9014021,1
9014022,1
9014023,1
9014031,1
9014032,1
9014033,1
9015110,1
9015120,1
9015131,1
9015132,2
9015141,1
9015142,1
9015151,1
9015152,1
9015211,2
9015212,2
9015221,2
9015222,2
9015230,2
9015240,2
9021110,2
9021120,2
9021131,2
9021132,2
9021140,2
9021211,2
9021212,2
9021220,2
9021230,2
9021240,2
9021250,2
9021310,2
9021321,2
9021322,2
9021331,2
9021332,2
9021341,2
9021342,2
9021411,2
9021412,2
9021421,2
9021422,2
9021430,2
9021511,2
9021512,2
9021520,2
9021530,2
9021540,2
9021550,2
9021611,2
9021612,2
9021621,2
9021622,2
9021631,2
9021632,2
9022011,2
9022012,2
9022021,2
9022022,2
9031111,3
9031112,3
9031121,3
9031122,3
9031123,3
9031130,3
9031141,3
9031142,3
9031143,3
9031150,3
9031211,3
9031212,3
9031221,3
9031222,3
9031230,3
9032010,3
9032020,3
9032030,3
9060111,3
9060112,3
9060113,3
9060121,3
9060122,3
9060131,3
9060132,3
9060211,3
9060212,3
9060221,3
9060222,3
9060230,10
9071010,8
9071021,8
9071022,8
9071031,8
9071032,8
9071033,8
9071041,8
9071042,8
9071051,8
9071052,8
9072011,8
9072012,8
9072013,8
9072021,8
9072022,8
9072023,8
9073011,8
9073012,8
9073020,8
9073030,8
9073040,8
9073051,8
9073052,8
9080110,15
9080121,15
9080122,15
9080131,15
9080132,15
9080133,8
9080211,8
9080212,15
9080221,15
9080222,8
9080231,8
9080233,8
9080241,8
9080242,8
9080243,8
9090110,9
9090120,9
9090210,9
9090221,9
9090222,9
9090231,9
9090232,9
9090233,9
9090240,9
9090311,9
9090322,9
9090330,9
9090340,9
9090411,9
9090412,9
9090421,9
9090422,9
9090430,9
9090440,9
9090450,9
9090511,9
9090512,9
9090521,9
9090522,9
9090531,9
9090532,9
9090611,9
9090612,9
9090621,9
9090622,9
9090631,9
9090632,9
9090641,9
9090642,9
9090651,9
9090652,9
9090660,9
9100011,8
9100012,8
9100021,9
9100022,9
9100031,9
9100032,8
9100033,8
1,X
2,X
3,X
4,X
5,T
6,T
7,T
8,P
9,P
10,Q
11,Z
12,Y
13,F
14,F
15,F
16,F
9110111,2
9110112,2
9110121,8
9110122,8
9110123,6
9110211,8
9110212,8
9110213,8
9110221,2
9110222,3
9110223,2
9110231,2
9110232,2
9120110,3
9120120,3
9120131,3
9120132,3
9120141,3
9120142,3
9120150,3
9120160,3
9120311,3
9120312,3
9120321,10
9120322,10
9120331,10
9120332,10
9120333,10
9120341,3
9120342,3
9120343,3
9131110,10
9131120,10
9131130,10
9131141,10
9131142,10
9131211,10
9131212,10
9131221,10
9131222,10
9131231,15
9131232,10
9131241,15
9131242,10
9132011,10
9132012,10
9132021,10
9132022,10
9132023,10
9132031,10
9132032,10
9132033,10
9140111,3
9140112,3
9140121,3
9140122,3
9140131,3
9140132,3
9140211,3
9140212,3
9140213,3
9140221,3
9140222,3
9140231,3
9140232,3
9150110,9
9150120,3
9150131,3
9150132,3
9150140,9
9150150,9
9150211,9
9150212,9
9150213,9
9150221,10
9150222,9
9150231,3
9150232,9
9150233,9
9150241,3
9150242,9
9160010,3
9160020,3
9160030,3
9160041,3
9160042,3
9160051,3
9160052,3